iteration,lof
0,11.628568221172007
1,8.417056586839948
2,6.84339609914906
3,6.016212794741831
4,5.589058141010864
5,5.34594816334772
6,5.197366392328069
7,5.101698195251073
8,5.036844853278756
9,4.9885195464569865
10,4.952182926784164
11,4.924353700667024
12,4.901086852645483
13,4.881579748051014
14,4.869057784754996
15,4.868437957725181
16,4.884953100583149
17,4.926001071777866
18,5.000307765494892
19,5.113634534475935
20,5.263925063298509
21,5.452065492804813
22,5.66702609927202
23,5.892607203968447
24,6.122291064193897
25,6.326514364359842
26,6.500749442470615
27,6.644400311164286
28,6.764902096359526
29,6.863614461477788
30,6.944396115152783
31,7.012087360342269
32,7.0699866623350776
33,7.12034384536089
34,7.16470832293216
35,7.203633619992153
36,7.236427615714673
37,7.264849622391066
38,7.288538633734573
39,7.30919878372133
40,7.327838568754099
41,7.345057506214983
42,7.361214345413752
43,7.376524598258571
44,7.391118894011345
45,7.40507794024601
46,7.418453179258115
47,7.431279003213456
48,7.443579975837842
49,7.455375093361559
50,7.4666802865006545
51,7.477509875957493
52,7.487877404973572
53,7.497796101351726
54,7.507279119748382
55,7.516339654525524
56,7.524990977320993
57,7.533246431859916
58,7.5411194055392
59,7.548623289491488
60,7.555771434108791
61,7.562577104139861
62,7.569053435734342
63,7.575213396744316
64,7.581069750945146
65,7.586635026440813
66,7.591921488278455
67,7.596941115150477
68,7.601705579977651
69,7.606226234118715
70,7.6105140949276135
71,7.6145798363711465
72,7.618433782420735
73,7.622085902939535
74,7.6255458117973935
75,7.628822766960871
76,7.631925672320119
77,7.634863081031399
78,7.637643200170557
79,7.640273896508809
80,7.6427627032385415
81,7.645116794197941
82,7.647341382548794
83,7.649443428289514
84,7.651429533612525
85,7.653305956365247
86,7.655078624582883
87,7.656753152393512
88,7.658334856203515
89,7.659828770530732
90,7.661239663158001
91,7.662572049466484
92,7.663830205915602
93,7.6650181826939185
94,7.666139815592624
95,7.6671987371633055
96,7.668198387222377
97,7.669142022759856
98,7.67003272730454
99,7.670873419790708
100,7.671666862965365
101,7.672415671369624
102,7.673122318922784
103,7.673789146133974
104,7.6744183669633
105,7.6750120753509385
106,7.675572251431865
107,7.676100767451077
108,7.676599393393381
109,7.677069802340937
110,7.6775135755704005
111,7.6779322074012875
112,7.678327109806061
113,7.6786996167927
114,7.679050988569215
115,7.679382415499922
116,7.679695021862426
117,7.679989869414358
118,7.680267960778102
119,7.680530242652013
120,7.680777608855976
121,7.681010903218843
122,7.681230922315397
123,7.681438418059697
124,7.681634100160227
125,7.681818650338235
126,7.681992702770614
127,7.6821568454183655
128,7.6823116353689755
129,7.682457600424046
130,7.682595239973559
131,7.682725026081215
132,7.68284740468835
133,7.6829627968678444
134,7.6830716000839585
135,7.683174189430794
136,7.6832709188332835
137,7.683362122201415
138,7.683448114533402
139,7.683529192965601
140,7.683605637769672
141,7.683677713297475
142,7.6837456688757255
143,7.683809739652016
144,7.683870147394973
145,7.683927101249913
146,7.683980798452797
147,7.684031425004531
148,7.684079156307499
149,7.684124157766556
