iteration,lof
0,6.187707713190011
1,4.711112973777954
2,4.580899837078207
3,4.53111614052065
4,4.508228928482808
5,4.502229936181462
6,4.526576115108993
7,4.6460794900037365
8,5.0583941298080175
9,6.239856835523506
10,8.553375164647836
11,11.428673873940216
12,13.966619599433647
13,15.649786918349731
14,16.60847415194718
15,17.09196236788671
16,17.328235626286446
17,17.425260227779184
18,17.459224747165873
19,17.464672071444042
20,17.457303452094035
21,17.44423898278158
22,17.428689685137535
23,17.412090920795166
24,17.39507584151782
25,17.37791833298523
26,17.360732949975933
27,17.34356487008342
28,17.326430095649616
29,17.30933293146287
30,17.29227339390171
31,17.27525022078559
32,17.258262003970334
33,17.24130755066861
34,17.224385948172525
35,17.207496528925407
36,17.19063881307506
37,17.173812455507036
38,17.157017204408564
39,17.140252871200637
40,17.123519309595395
41,17.1068164013578
42,17.090144046772252
43,17.07350215831803
44,17.05689065650133
45,17.040309467117794
46,17.02375851946025
47,17.007237745145744
48,16.99074707735024
49,16.973656984668374
50,16.955817531901648
51,16.937611962955017
52,16.91923738845492
53,16.90079489705802
54,16.88233624968457
55,16.863887937756232
56,16.845463327841557
57,16.82706927692189
58,16.80870925649104
59,16.790384991588365
60,16.772097316711438
61,16.753846612826408
62,16.73563303023792
63,16.717456602111696
64,16.69931730222778
65,16.68121508198948
66,16.66314989571082
67,16.645121676284518
68,16.627130309892525
69,16.609175655789294
70,16.59125757746228
71,16.573375950740996
72,16.555530663503998
73,16.53772161304811
74,16.519948703354682
75,16.502211842910327
76,16.48451094315489
77,16.466845917440253
78,16.44921668035571
79,16.431623147306603
80,16.414065234250057
81,16.396542857534932
82,16.379055933806303
83,16.36160437994549
84,16.344188113036626
85,16.326807050347938
86,16.30946110931473
87,16.292150207538622
88,16.274874262779125
89,16.257633192955016
90,16.24042691614165
91,16.22325535057103
92,16.206118414631888
93,16.18901602686991
94,16.17194810598941
95,16.154914570852238
96,16.13791534047923
97,16.12095033405192
98,16.10401947091126
99,16.087122670558408
100,16.070259852654598
101,16.05343093702743
102,16.03663584366298
103,16.01987449271234
104,16.00314680449034
105,15.986452699473865
106,15.969792098309052
107,15.953164921804595
108,15.936571090932208
109,15.920010526834727
110,15.903483150819294
111,15.886988884361234
112,15.87052764909857
113,15.854099366845931
114,15.837703959580713
115,15.821341349449842
116,15.805011458770682
117,15.788714210029733
118,15.772449525881266
119,15.756217329152195
120,15.7400175428373
121,15.723850090105826
122,15.707714894297716
123,15.691611878921321
124,15.675540967660229
125,15.659502084363734
126,15.64349515306106
127,15.627520097948006
128,15.611576843402124
129,15.595665313958515
130,15.579762196441346
131,15.56288313428513
132,15.545495336187834
133,15.527852054671795
134,15.510089875573815
135,15.492282360455222
136,15.474469065051025
137,15.456671216978535
138,15.438900175781809
139,15.421161993030614
140,15.40345986769067
141,15.385795466899973
142,15.368169635797614
143,15.350582778700147
144,15.333035063641226
145,15.315526532092614
146,15.29805715775142
147,15.280626878083117
148,15.2632356112164
149,15.24588326498211
150,15.228569741793835
151,15.211294941252104
152,15.194058761545785
153,15.176861100204892
154,15.15970185453356
155,15.142580921817261
156,15.125498199431028
157,15.108453584924202
158,15.091446976068598
159,15.074478270845315
160,15.057547367486052
161,15.040654164471857
162,15.023798560522227
163,15.006980454648142
164,14.990199746060867
165,14.973456334266611
166,14.95675011902231
167,14.940081000365998
168,14.92344887855398
169,14.90685365412085
170,14.89029522788293
171,14.873773500900276
172,14.857288374464941
173,14.840839750160445
174,14.824427529852205
175,14.808051615636506
176,14.791711909875357
177,14.775408315225627
178,14.759140734531876
179,14.742909070967485
180,14.72671322798918
181,14.7105531092393
182,14.694428618682087
183,14.678339660480871
184,14.662286149529297
185,14.646267848029265
186,14.63028315341965
187,14.614332735031773
188,14.59841691714927
189,14.582535832654852
190,14.566689509662428
191,14.550877919446565
192,14.535101003059673
193,14.519358685347283
194,14.503650882754183
195,14.487977507448582
196,14.472338469442814
197,14.456733677810274
198,14.441163041145542
199,14.42562646802392
