iteration,lof
0,11.632468727249995
1,8.421912811804823
2,6.853602886119053
3,6.031483819159441
4,5.6077210992199475
5,5.366673254896726
6,5.219240990245398
7,5.124205603814291
8,5.059775528090273
9,5.011267918756779
10,4.974030120716439
11,4.944743428310517
12,4.919854324800208
13,4.898723164783972
14,4.885796873853374
15,4.886137349264804
16,4.904044733756181
17,4.947749187810675
18,5.026118241227455
19,5.143304842101235
20,5.297766334225294
21,5.490113088759036
22,5.70557058007438
23,5.931148881950396
24,6.158819521313574
25,6.35817037806431
26,6.526464400634004
27,6.665325976119448
28,6.7819476259344995
29,6.876734357061856
30,6.954483873053944
31,7.0197863945865775
32,7.075763953740058
33,7.124544139989192
34,7.167591735867776
35,7.2055551534376665
36,7.237477410425617
37,7.265062635624931
38,7.2884162901646805
39,7.308510519932956
40,7.326459586190495
41,7.342925750821933
42,7.358303959984139
43,7.372831273099127
44,7.386651639754821
45,7.399854096031072
46,7.412496171631846
47,7.424615973556431
48,7.436229242560372
49,7.44735798694532
50,7.458020366171912
51,7.46823219927808
52,7.478007969605498
53,7.487361410341681
54,7.496305839418787
55,7.504854344053694
56,7.513019875087366
57,7.520815287465485
58,7.5282533489595185
59,7.535346730648332
60,7.542107987471486
61,7.548549533978901
62,7.55468361843471
63,7.560522297207789
64,7.566077410609763
65,7.571360560852034
66,7.576383092478416
67,7.581156075427
68,7.5856903373737685
69,7.589995576362468
70,7.5940815300901106
71,7.597958353829869
72,7.601635822945063
73,7.605123338301735
74,7.6084299336258985
75,7.6115642837180735
76,7.614534713106827
77,7.6173492049170015
78,7.620015409846817
79,7.622540655211969
80,7.624931954044565
81,7.627196014244869
82,7.629339247783287
83,7.631367779945928
84,7.633287458610641
85,7.635103863535897
86,7.636822315640426
87,7.638447886249226
88,7.639985406280091
89,7.641439475345136
90,7.642814470742286
91,7.644114556313412
92,7.645343691147441
93,7.6465056381097085
94,7.64760397218022
95,7.648642088586749
96,7.64962321072091
97,7.650550397827205
98,7.651426552457761
99,7.652254427687179
100,7.653036634083925
101,7.653775646436051
102,7.654473810230951
103,7.65513334788972
104,7.6557563647583455
105,7.656344854858227
106,7.65690070640024
107,7.657425707066631
108,7.6579215490656285
109,7.658389833964964
110,7.6588320773096354
111,7.6592497130305635
112,7.659644097650631
113,7.660016514294639
114,7.660368176510206
115,7.6607002319061435
116,7.661013765615521
117,7.6613098035898
118,7.661589315731239
119,7.66185321886982
120,7.662102379591443
121,7.662337616923734
122,7.662559704885676
123,7.6627693749073185
124,7.662967318125043
125,7.6631541875586
126,7.663330600175157
127,7.6634971388456705
128,7.663654354198915
129,7.663802766377984
130,7.66394286670412
131,7.664075119252206
132,7.664199962342652
133,7.664317809953655
134,7.664429053057815
135,7.664534060887061
136,7.6646331821295055
137,7.664726746061799
138,7.6648150636201295
139,7.664898428413201
140,7.664977117680281
141,7.665051393197079
142,7.665121502132137
143,7.665187677856611
144,7.665250140709608
145,7.665309098721715
146,7.665364748298699
147,7.665417274867724
148,7.665466853488069
149,7.6655136494281
