iteration,lof
0,7.158152214158673
1,4.886558020733004
2,4.670513062472257
3,4.5727991558864405
4,4.5203173365049585
5,4.495445060173502
6,4.487455419799268
7,4.504536831794006
8,4.588716039102534
9,4.886187598278849
10,5.770925600428497
11,7.687307129257838
12,10.418713709870993
13,13.084947969639993
14,15.040605175233276
15,16.196093620294704
16,16.79168607105796
17,17.065023090513556
18,17.186808562603556
19,17.237048473447178
20,17.25385322813042
21,17.25508873228912
22,17.249354324510858
23,17.24079193787577
24,17.23127496152048
25,17.221607711070064
26,17.21210061146444
27,17.202844279018546
28,17.193838376613623
29,17.185043139290563
30,17.176413319967132
31,17.167920821456523
32,17.159538132564904
33,17.151241444061288
34,17.14301142189858
35,17.13483294972243
36,17.126694490967292
37,17.118587381228203
38,17.110505183704756
39,17.102443152097123
40,17.09439780453126
41,17.086366595567608
42,17.078347668571563
43,17.070339671166412
44,17.06234161891074
45,17.05435279521127
46,17.04637267815071
47,17.038400887149642
48,17.030437144165898
49,17.02248124550877
50,17.0145330413843
51,17.00659242106043
52,16.99865930211245
53,16.99073362262933
54,16.982815335565828
55,16.974904404650523
56,16.967000801420916
57,16.95910450307571
58,16.951215490917946
59,16.943333749227577
60,16.935459264444127
61,16.927592024574896
62,16.919732018765373
63,16.911879236988238
64,16.90403366981818
65,16.89619530826802
66,16.88836414367096
67,16.88054016759402
68,16.87272337177572
69,16.86491374808174
70,16.857111294438894
71,16.849315373837932
72,16.84152592841956
73,16.833743230859863
74,16.825967442696882
75,16.818198655373344
76,16.810436918032636
77,16.80268225504134
78,16.794934676559066
79,16.787194184728683
80,16.779460777225996
81,16.77173444926385
82,16.764015194707753
83,16.75630300669462
84,16.748597877969477
85,16.740899801068814
86,16.733208768421527
87,16.72552477240185
88,16.717847805358645
89,16.71017785963042
90,16.70251492755413
91,16.69485900146939
92,16.687210073719836
93,16.679568136656638
94,16.671933182637222
95,16.66430520402654
96,16.656684193195545
97,16.649070142524746
98,16.64146304440154
99,16.633862891219888
100,16.62626967538328
101,16.61868338930095
102,16.611104025390677
103,16.60353157607886
104,16.595966033798174
105,16.588407390989556
106,16.580855640101383
107,16.573310773591107
108,16.565772783921297
109,16.558241663564026
110,16.550717404999602
111,16.54320000071421
112,16.53568944320362
113,16.52818572496915
114,16.52068884060365
115,16.513198803389866
116,16.505715618378172
117,16.49823927968443
118,16.490769777011653
119,16.483307098246325
120,16.47585123095266
121,16.46840216312336
122,16.460959883460667
123,16.453524381417513
124,16.446095647700176
125,16.438673693632573
126,16.431258583532106
127,16.423850331895384
128,16.41644892971855
129,16.409054356791923
130,16.4016665891846
131,16.394285603209426
132,16.38691137719381
133,16.37954389200668
134,16.372183130997765
135,16.36482907966658
136,16.357481725260726
137,16.350141056422483
138,16.342807062843573
139,16.335479735028194
140,16.32815906407731
141,16.320845041534255
142,16.31353765927342
143,16.306236909409783
144,16.29894278424532
145,16.291655276204697
146,16.284374377812235
147,16.277100081665655
148,16.26983238042144
149,16.262571266775737
150,16.255316733462436
151,16.248068773228958
152,16.240827378852902
153,16.233592543126882
154,16.226364258861345
155,16.219142518872925
156,16.211927316001628
157,16.204718643079673
158,16.19751649296092
159,16.190320858506674
160,16.18313173258513
161,16.175949108074274
162,16.168772977857945
163,16.161603334839576
164,16.154440171920232
165,16.1472834819987
166,16.140133258006895
167,16.132989492861203
168,16.12585217948283
169,16.11872131083487
170,16.11159687986305
171,16.104478879521146
172,16.097367302773044
173,16.090262142585242
174,16.083163391966167
175,16.076071043873252
176,16.068985091316147
177,16.06190552729206
178,16.05483234481014
179,16.047765536909772
180,16.040705096606434
181,16.033651016917872
182,16.02660329091463
183,16.01956191164209
184,16.01252687215738
185,16.005498165517498
186,15.998475784806402
187,15.991459723128468
188,15.984449973464146
189,15.977446529064895
190,15.970449382949145
191,15.963458528228278
192,15.9564739580313
193,15.949344803895347
194,15.941944779465015
195,15.93441347724709
196,15.92682055841474
197,15.91920073654791
198,15.91157129719876
199,15.903940836720432
