iteration,lof
0,11.628254795761322
1,8.415649007797862
2,6.844615082281436
3,6.019921105501441
4,5.594350636155094
5,5.352059259535304
6,5.203838678540675
7,5.108311026597373
8,5.043586672371011
9,4.994911313951978
10,4.957755750877082
11,4.928718428642369
12,4.904345160138834
13,4.883920899035086
14,4.871532087950381
15,4.872157748424565
16,4.890512631324335
17,4.934758815556372
18,5.013725384952587
19,5.131634049174146
20,5.286753774003065
21,5.479807280421908
22,5.695786433562022
23,5.9218657191395865
24,6.149944978477947
25,6.349427244343456
26,6.5178203787612965
27,6.656806676534568
28,6.773563814632953
29,6.868489076073265
30,6.9463799893854965
31,7.011819306421728
32,7.067925057645419
33,7.116822779196948
34,7.159976449037875
35,7.197913678134313
36,7.2298458364017355
37,7.257464235632878
38,7.280611724222902
39,7.3006238973743836
40,7.318562636362981
41,7.335059153877344
42,7.35049020629667
43,7.365082288000134
44,7.378974066936762
45,7.392250965803608
46,7.404967189551137
47,7.417158716676646
48,7.428850965791449
49,7.440063315878066
50,7.450811762574011
51,7.4611104679942395
52,7.470972653022204
53,7.480411098908711
54,7.489438417210417
55,7.498067183073602
56,7.506309988730467
57,7.514179451293377
58,7.521688195283486
59,7.528848822130339
60,7.5356738739382685
61,7.542175795829302
62,7.548366899363283
63,7.554259328435293
64,7.559865028382311
65,7.565195718622691
66,7.570262932463577
67,7.575076477785745
68,7.57964520717785
69,7.583980487625704
70,7.588093257224307
71,7.5919940269624275
72,7.595692886747721
73,7.599199514998991
74,7.602523190019538
75,7.6056728020932995
76,7.608656865726521
77,7.611483531750964
78,7.614160599171571
79,7.616695526731025
80,7.619095444204669
81,7.621367163454938
82,7.623517189275342
83,7.6255517300487
84,7.62747670823694
85,7.629297770711255
86,7.631020298925649
87,7.632649418930418
88,7.63419001121871
89,7.635646720396898
90,7.637023964667583
91,7.638325945113565
92,7.639556654771599
93,7.6407198874851865
94,7.641819246526501
95,7.6428581529794855
96,7.643839853876807
97,7.644767430085351
98,7.645643803936218
99,7.646471746596655
100,7.64725388518279
101,7.64799270961302
102,7.648690579203489
103,7.649349729007726
104,7.649972275903691
105,7.650560224432155
106,7.6511154723910995
107,7.651639816191425
108,7.652134955979566
109,7.652602500533446
110,7.653043971937875
111,7.653460810046628
112,7.653854376737418
113,7.654225959967547
114,7.65457677763662
115,7.65490798126403
116,7.655220659487762
117,7.65551584139211
118,7.655794499670571
119,7.656057553631558
120,7.65630587205281
121,7.656540275891651
122,7.656761540857181
123,7.6569703998507475
124,7.657167545280634
125,7.657353631256745
126,7.657529275671093
127,7.657695062169448
128,7.657851542019223
129,7.657999235878925
130,7.658138635473767
131,7.658270205182206
132,7.6583943835377895
133,7.658511584650643
134,7.658622199552642
135,7.658726597470111
136,7.658825127027789
137,7.658918117387649
138,7.659005879326076
139,7.659088706252196
140,7.659166875170975
141,7.659240647593547
142,7.659310270397979
143,7.659375976642647
144,7.659437986335137
145,7.659496507158761
146,7.65955173515923
147,7.659603855393484
148,7.659653042542453
149,7.659699461490368
